[LOG] [Wed Dec 28 16:07:11 2022] 日志初始化. 
[LOG] [Wed Dec 28 16:07:11 2022] DX渲染 预先初始化 完成 
[LOG] [Wed Dec 28 16:07:12 2022] 引擎 预初始化 完成. 
[LOG] [Wed Dec 28 16:07:12 2022] 初始化窗口完成. 
[SUCCESS] [Wed Dec 28 16:07:12 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:12 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:12 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:12 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:12 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:12 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:12 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:12 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:12 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:12 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:12 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:12 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:12 2022] Success ! 
[LOG] [Wed Dec 28 16:07:12 2022] DX渲染 初始化 完成 
[LOG] [Wed Dec 28 16:07:12 2022] 引擎 初始化 完成. 
[LOG] [Wed Dec 28 16:07:12 2022] 引擎 拖后初始化 完成. 
[LOG] [Wed Dec 28 16:07:12 2022] DX渲染 拖后初始化 完成 
[SUCCESS] [Wed Dec 28 16:07:12 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:13 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:13 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:13 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:13 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:13 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:13 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:13 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:13 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:13 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:13 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:13 2022] Success ! 
[SUCCESS] [Wed Dec 28 16:07:13 2022] Success ! 
